rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
3357	morales	morales	651	10341182	73.8857	4.2808	residual	
3358	ne'	ne'	651	10341833	73.8903	4.2811	residual	
3359	raccontarci	raccontarci	651	10342484	73.8950	4.2814	tokeniser_fixable	
3360	spariscono	spariscono	651	10343135	73.8997	4.2816	residual	
3361	viverci	viverci	651	10343786	73.9043	4.2819	tokeniser_fixable	
3362	ahm	ahm	650	10344436	73.9089	4.2822	residual	yum!
3363	ham	ham	650	10345086	73.9136	4.2824	proper_noun	
3364	keating	keating	650	10345736	73.9182	4.2827	residual	
3365	rivers	rivers	650	10346386	73.9229	4.2830	residual	
3366	sven	sven	650	10347036	73.9275	4.2832	proper_noun	
3367	zed	zed	650	10347686	73.9322	4.2835	proper_noun	
3368	hoover	hoover	649	10348335	73.9368	4.2838	residual	
3369	procurarsi	procurarsi	649	10348984	73.9414	4.2841	tokeniser_fixable	to get
3370	lap	lap	648	10349632	73.9461	4.2843	foreign_word	
3371	roxy	roxy	648	10350280	73.9507	4.2846	proper_noun	
3372	shark	shark	648	10350928	73.9553	4.2849	foreign_word	
3373	wolfe	wolfe	648	10351576	73.9600	4.2851	residual	
3374	ercole	ercole	647	10352223	73.9646	4.2854	residual	Hercules
3375	guadagnarci	guadagnarci	647	10352870	73.9692	4.2857	tokeniser_fixable	to draw an advantage, typically from a certain action or behavior; to earn; to gain; to get, to take on a more pleasing appearance; to look good
3376	pritchard	pritchard	647	10353517	73.9738	4.2859	residual	
3377	tc	tc	647	10354164	73.9785	4.2862	residual	
3378	titanic	titanic	647	10354811	73.9831	4.2865	foreign_word	Titanic
3379	ventimila	ventimila	647	10355458	73.9877	4.2867	residual	twenty thousand
3380	apache	apache	646	10356104	73.9923	4.2870	foreign_word	Apache
3381	cafe	cafe	646	10356750	73.9969	4.2873	residual	cafe
3382	ventidue	ventidue	646	10357396	74.0015	4.2875	residual	twenty-two
3383	serecea	serecea	645	10358041	74.0062	4.2878	residual	
3384	ammanettato	ammanettare	644	10358685	74.0108	4.2881	residual	manacle
3385	bebe	bebe	644	10359329	74.0154	4.2883	proper_noun	
3386	beethoven	beethoven	644	10359973	74.0200	4.2886	residual	Beethoven
3387	josephine	josephine	644	10360617	74.0246	4.2889	proper_noun	
3388	regan	regan	644	10361261	74.0292	4.2891	proper_noun	
3389	trovatelo	trovatelo	644	10361905	74.0338	4.2894	tokeniser_fixable	
3390	addicted	addicted	643	10362548	74.0384	4.2897	foreign_word	
3391	alistair	alistair	643	10363191	74.0429	4.2899	residual	
3392	baghdad	baghdad	643	10363834	74.0475	4.2902	residual	Baghdad
3393	caposquadra	caposquadra	643	10364477	74.0521	4.2905	residual	foreman/forewoman, supervisor, team leader, squad leader
3394	ernest	ernest	643	10365120	74.0567	4.2907	proper_noun	
3395	hugin	hugin	643	10365763	74.0613	4.2910	residual	
3396	three	three	643	10366406	74.0659	4.2913	foreign_word	
3397	kitt	kitt	642	10367048	74.0705	4.2915	residual	
3398	langston	langston	642	10367690	74.0751	4.2918	proper_noun	
3399	rain	rain	642	10368332	74.0797	4.2921	foreign_word	
3400	ramona	ramona	642	10368974	74.0843	4.2923	proper_noun	
3401	storm	storm	642	10369616	74.0889	4.2926	proper_noun	
3402	tesoruccio	tesoruccio	642	10370258	74.0934	4.2929	residual	treasure
3403	esteban	esteban	641	10370899	74.0980	4.2931	proper_noun	
3404	scotland	scotland	641	10371540	74.1026	4.2934	residual	
3405	eureka	eureka	640	10372180	74.1072	4.2937	foreign_word	eureka
3406	fischer	fischer	640	10372820	74.1117	4.2939	residual	
3407	kimi	kimi	640	10373460	74.1163	4.2942	residual	
3408	bernardo	bernardo	639	10374099	74.1209	4.2945	proper_noun	a male given name from Proto-Germanic, feminine equivalent Bernarda, equivalent to English Bernard
3409	brock	brock	639	10374738	74.1254	4.2947	proper_noun	
3410	dispiacerti	dispiacerti	639	10375377	74.1300	4.2950	tokeniser_fixable	
